Date,Sales
2023-01-01,41
2023-01-02,62
2023-01-03,57
2023-01-04,54
2023-01-05,57
2023-01-06,55
2023-01-07,64
2023-01-08,63
2023-01-09,61
2023-01-10,62
2023-01-11,55
2023-01-12,53
2023-01-13,49
2023-01-14,56
2023-01-15,49
2023-01-16,42
2023-01-17,39
2023-01-18,46
2023-01-19,40
2023-01-20,39
2023-01-21,39
2023-01-22,43
2023-01-23,41
2023-01-24,39
2023-01-25,33
2023-01-26,38
2023-01-27,47
2023-01-28,44
2023-01-29,37
2023-01-30,50
2023-01-31,48
2023-02-01,46
2023-02-02,53
2023-02-03,58
2023-02-04,55
2023-02-05,61
2023-02-06,65
2023-02-07,66
2023-02-08,57
2023-02-09,64
2023-02-10,66
2023-02-11,68
2023-02-12,66
2023-02-13,55
2023-02-14,62
2023-02-15,57
2023-02-16,48
2023-02-17,55
2023-02-18,46
2023-02-19,49
2023-02-20,43
2023-02-21,51
2023-02-22,39
2023-02-23,50
2023-02-24,45
2023-02-25,47
2023-02-26,46
2023-02-27,46
2023-02-28,49
2023-03-01,44
2023-03-02,49
2023-03-03,64
2023-03-04,55
2023-03-05,61
2023-03-06,62
2023-03-07,66
2023-03-08,60
2023-03-09,71
2023-03-10,57
2023-03-11,69
2023-03-12,67
2023-03-13,65
2023-03-14,67
2023-03-15,60
2023-03-16,62
2023-03-17,55
2023-03-18,52
2023-03-19,61
2023-03-20,53
2023-03-21,51
2023-03-22,48
2023-03-23,51
2023-03-24,46
2023-03-25,48
2023-03-26,53
2023-03-27,51
2023-03-28,55
2023-03-29,43
2023-03-30,60
2023-03-31,62
2023-04-01,50
2023-04-02,62
2023-04-03,62
2023-04-04,71
2023-04-05,61
2023-04-06,67
2023-04-07,65
2023-04-08,70
2023-04-09,69
2023-04-10,80
2023-04-11,64
2023-04-12,70
2023-04-13,63
2023-04-14,63
2023-04-15,67
2023-04-16,53
2023-04-17,65
2023-04-18,52
2023-04-19,57
2023-04-20,51
2023-04-21,57
2023-04-22,51
2023-04-23,54
2023-04-24,50
2023-04-25,49
2023-04-26,57
2023-04-27,47
2023-04-28,51
2023-04-29,61
2023-04-30,58
2023-05-01,64
2023-05-02,68
2023-05-03,69
2023-05-04,64
2023-05-05,66
2023-05-06,76
2023-05-07,75
2023-05-08,73
2023-05-09,69
2023-05-10,70
2023-05-11,74
2023-05-12,74
2023-05-13,66
2023-05-14,72
2023-05-15,69
2023-05-16,60
2023-05-17,54
2023-05-18,61
2023-05-19,54
2023-05-20,62
2023-05-21,65
2023-05-22,50
2023-05-23,53
2023-05-24,52
2023-05-25,53
2023-05-26,55
2023-05-27,62
2023-05-28,65
2023-05-29,58
2023-05-30,69
2023-05-31,67
2023-06-01,67
2023-06-02,70
2023-06-03,60
2023-06-04,76
2023-06-05,78
2023-06-06,76
2023-06-07,74
2023-06-08,66
2023-06-09,80
2023-06-10,75
2023-06-11,79
2023-06-12,79
2023-06-13,69
2023-06-14,56
2023-06-15,62
2023-06-16,60
2023-06-17,62
2023-06-18,67
2023-06-19,62
2023-06-20,55
2023-06-21,64
2023-06-22,53
2023-06-23,57
2023-06-24,59
2023-06-25,60
2023-06-26,62
2023-06-27,68
2023-06-28,60
2023-06-29,64
2023-06-30,60
2023-07-01,68
2023-07-02,63
2023-07-03,81
2023-07-04,75
2023-07-05,83
2023-07-06,89
2023-07-07,84
2023-07-08,79
2023-07-09,82
2023-07-10,75
2023-07-11,73
2023-07-12,69
2023-07-13,83
2023-07-14,72
2023-07-15,65
2023-07-16,76
2023-07-17,62
2023-07-18,67
2023-07-19,66
2023-07-20,55
2023-07-21,62
2023-07-22,63
2023-07-23,59
2023-07-24,57
2023-07-25,61
2023-07-26,71
2023-07-27,77
2023-07-28,62
2023-07-29,59
2023-07-30,74
2023-07-31,72
2023-08-01,66
2023-08-02,71
2023-08-03,76
2023-08-04,79
2023-08-05,82
2023-08-06,76
2023-08-07,81
2023-08-08,85
2023-08-09,86
2023-08-10,75
2023-08-11,78
2023-08-12,71
2023-08-13,70
2023-08-14,63
2023-08-15,72
2023-08-16,68
2023-08-17,65
2023-08-18,63
2023-08-19,61
2023-08-20,56
2023-08-21,61
2023-08-22,62
2023-08-23,60
2023-08-24,62
2023-08-25,57
2023-08-26,65
2023-08-27,68
2023-08-28,68
2023-08-29,68
2023-08-30,65
2023-08-31,74
2023-09-01,79
2023-09-02,76
2023-09-03,78
2023-09-04,84
2023-09-05,90
2023-09-06,90
2023-09-07,85
2023-09-08,84
2023-09-09,75
2023-09-10,78
2023-09-11,75
2023-09-12,71
2023-09-13,77
2023-09-14,74
2023-09-15,70
2023-09-16,74
2023-09-17,59
2023-09-18,74
2023-09-19,63
2023-09-20,62
2023-09-21,67
2023-09-22,66
2023-09-23,71
2023-09-24,71
2023-09-25,73
2023-09-26,68
2023-09-27,79
2023-09-28,79
2023-09-29,76
2023-09-30,74
2023-10-01,79
2023-10-02,84
2023-10-03,77
2023-10-04,88
2023-10-05,88
2023-10-06,94
2023-10-07,89
2023-10-08,93
2023-10-09,87
2023-10-10,89
2023-10-11,85
2023-10-12,76
2023-10-13,77
2023-10-14,68
2023-10-15,76
2023-10-16,66
2023-10-17,76
2023-10-18,70
2023-10-19,69
2023-10-20,73
2023-10-21,68
2023-10-22,57
2023-10-23,72
2023-10-24,72
2023-10-25,77
2023-10-26,77
2023-10-27,69
2023-10-28,84
2023-10-29,81
2023-10-30,80
2023-10-31,91
2023-11-01,93
2023-11-02,82
2023-11-03,90
2023-11-04,92
2023-11-05,87
2023-11-06,86
2023-11-07,86
2023-11-08,85
2023-11-09,84
2023-11-10,84
2023-11-11,81
2023-11-12,88
2023-11-13,77
2023-11-14,73
2023-11-15,80
2023-11-16,70
2023-11-17,76
2023-11-18,68
2023-11-19,70
2023-11-20,75
2023-11-21,68
2023-11-22,67
2023-11-23,75
2023-11-24,68
2023-11-25,75
2023-11-26,75
2023-11-27,82
2023-11-28,85
2023-11-29,87
2023-11-30,89
2023-12-01,93
2023-12-02,98
2023-12-03,92
2023-12-04,94
2023-12-05,94
2023-12-06,101
2023-12-07,96
2023-12-08,86
2023-12-09,83
2023-12-10,86
2023-12-11,86
2023-12-12,80
2023-12-13,72
2023-12-14,76
2023-12-15,71
2023-12-16,67
2023-12-17,77
2023-12-18,75
2023-12-19,73
2023-12-20,79
2023-12-21,75
2023-12-22,68
2023-12-23,66
2023-12-24,81
2023-12-25,80
2023-12-26,85
2023-12-27,76
2023-12-28,78
2023-12-29,91
2023-12-30,90
2023-12-31,89
